subject,trial,observation
1,1,-30.5334705734275
1,2,-3.9622282597683
1,3,30.5290713079842
1,4,2.86506189272403
1,5,24.3310925389988
1,6,10.6162836975266
1,7,3.20499274390458
1,8,16.3728045078217
1,9,-29.5960892462699
1,10,-4.86054220928593
2,1,11.158820945567
2,2,23.6009714659716
2,3,13.885126936695
2,4,4.17404687536101
2,5,20.2051909590788
2,6,1.12878866469311
2,7,-17.8201019444902
2,8,0.468007651623169
2,9,-1.87714312912767
2,10,7.1595924822202
3,1,-5.55377105701313
3,2,11.949300850681
3,3,35.7950082335848
3,4,-29.5252934946921
3,5,10.7831610805266
3,6,-11.3430285155823
3,7,-9.75846465215805
3,8,-29.8564864727234
3,9,-3.4960316211141
3,10,6.55976322626176
4,1,-23.2696031801489
4,2,33.7173215684974
4,3,-11.9657083553616
4,4,-37.6883479212135
4,5,-1.03697401056485
4,6,40.7137701545958
4,7,27.9216498637648
4,8,22.5227121043653
4,9,14.2522555580284
4,10,8.70719853071402
5,1,-6.52299014570707
5,2,-24.6349240246059
5,3,-36.7430794804044
5,4,-19.0622845498885
5,5,-29.2902087948276
5,6,-15.8326043701278
5,7,13.2282205260504
5,8,-14.0847262262781
5,9,-25.1536009665974
5,10,-15.5669144561436
6,1,-28.1960470878706
6,2,14.5026116463577
6,3,-24.5330009889856
6,4,-1.56943119256302
6,5,10.7049641791812
6,6,21.2372973568493
6,7,32.9602020399123
6,8,-28.9086834156192
6,9,16.5477174648727
6,10,-8.52887944864365
7,1,-2.16346308520383
7,2,25.4009257135758
7,3,-9.38541617883252
7,4,12.3964545778619
7,5,-0.690001024887154
7,6,-7.4037024645882
7,7,24.7781813192934
7,8,-2.90826017861804
7,9,-2.70376019786223
7,10,12.6845564215127
8,1,16.3891687768377
8,2,-14.7397837823266
8,3,20.3119687261878
8,4,-9.87191001980195
8,5,-14.1144979259447
8,6,-38.6087365376058
8,7,-1.56929123165541
8,8,6.26061875628556
8,9,-11.0842668530167
8,10,21.9252112497464
9,1,11.3939549123451
9,2,2.58551873698686
9,3,31.500609991352
9,4,-24.5438845075543
9,5,5.73027367346183
9,6,15.2128652816001
9,7,-15.9582930217107
9,8,-3.45480461994297
9,9,-0.0516681684962052
9,10,-6.64042666627436
10,1,2.07406198716406
10,2,-1.72473480512297
10,3,-13.1802374863487
10,4,13.7878922118679
10,5,-8.86690664527789
10,6,-9.7111176532433
10,7,9.04362029079386
10,8,29.5969957425011
10,9,-28.9256137648595
10,10,4.24663677631976
