ind1,ind2,obs
a,Jan,-0.626453810742332
a,Jan,0.183643324222082
a,Feb,-0.835628612410047
b,Feb,1.59528080213779
b,Mar,0.329507771815361
b,Mar,-0.820468384118015
c,Apr,0.487429052428485
c,Apr,0.738324705129217
c,May,0.575781351653492
d,May,-0.305388387156356
d,Jun,1.51178116845085
d,Jun,0.389843236411431
e,Jul,-0.621240580541804
e,Jul,-2.2146998871775
e,Aug,1.12493091814311
f,Aug,-0.0449336090152308
f,Sep,-0.0161902630989461
f,Sep,0.943836210685299
g,Oct,0.821221195098089
g,Oct,0.593901321217509
g,Jan,0.918977371608218
h,Jan,0.782136300731067
h,Feb,0.0745649833651906
h,Feb,-1.98935169586337
i,Mar,0.61982574789471
i,Mar,-0.0561287395290008
i,Apr,-0.155795506705329
j,Apr,-1.47075238389927
j,May,-0.47815005510862
j,May,0.417941560199702
a,Jun,1.35867955152904
a,Jun,-0.102787727342996
a,Jul,0.387671611559369
b,Jul,-0.0538050405829051
b,Aug,-1.37705955682861
b,Aug,-0.41499456329968
c,Sep,-0.394289953710349
c,Sep,-0.0593133967111857
c,Oct,1.10002537198388
d,Oct,0.763175748457544
d,Jan,-0.164523596253587
d,Jan,-0.253361680136508
e,Feb,0.696963375404737
e,Feb,0.556663198673657
e,Mar,-0.68875569454952
f,Mar,-0.70749515696212
f,Apr,0.36458196213683
f,Apr,0.768532924515416
g,May,-0.112346212150228
g,May,0.881107726454215
g,Jun,0.398105880367068
h,Jun,-0.612026393250771
h,Jul,0.341119691424425
h,Jul,-1.12936309608079
i,Aug,1.43302370170104
i,Aug,1.98039989850586
i,Sep,-0.367221476466509
j,Sep,-1.04413462631653
j,Oct,0.569719627442413
j,Oct,-0.135054603880824
