startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,296.5975,right,1,1.1422,0,0,0,7,1,>>>>>,congruent,right,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
,,left,1,0.581,0,1,1,6,1,<<<<<,congruent,left,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
,,left,1,0.4672,0,2,2,4,1,<<<<<,congruent,left,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
,,right,1,0.441,0,3,3,3,1,>>>>>,congruent,right,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
,,right,1,1.0211,0,4,4,8,1,<<><<,incongruent,right,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
,,left,1,0.4961,0,5,5,0,1,<<<<<,congruent,left,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
,,left,1,0.454,0,6,6,2,1,<<<<<,congruent,left,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
,,right,1,0.402,0,7,7,1,1,>>>>>,congruent,right,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
,,left,1,0.5336,0,8,8,9,1,>><>>,incongruent,left,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
,,right,1,0.4742,0,9,9,5,1,>>>>>,congruent,right,a,001,2022-02-26_16h35.30.596,flanker-basic,2021.2.3,Win32,60.06727535
