y,maze_odour,maze_material
16.314771424404,chocolate,wood
8.36883319647175,chocolate,wood
16.6489963146125,chocolate,wood
16.362146607147,chocolate,wood
12.073207172282,chocolate,wood
2.30024979048145,chocolate,wood
5.35716482643231,chocolate,wood
8.5263977660472,chocolate,wood
9.97116413626232,chocolate,wood
22.0232669442898,chocolate,wood
13.8179673057023,chocolate,wood
6.00495375505316,chocolate,wood
4.26171495381824,chocolate,wood
8.55269213155888,chocolate,wood
8.50392441051342,chocolate,wood
7.94244583602467,chocolate,wood
11.2611172407807,chocolate,wood
5.54039436357716,chocolate,wood
12.1784164967786,chocolate,wood
3.81230789035021,chocolate,wood
8.87866057360845,chocolate,wood
11.8869782299085,chocolate,wood
10.6666818040742,chocolate,wood
14.0209475487245,chocolate,wood
9.71446612808096,chocolate,wood
12.5180398611686,chocolate,wood
15.4288468107284,chocolate,wood
6.54523080151585,chocolate,wood
3.57700323063906,chocolate,wood
10.2336308609418,chocolate,wood
8.82146721780249,chocolate,wood
7.28555872494873,chocolate,wood
7.83344841271609,chocolate,wood
6.75264176601884,chocolate,wood
13.6337537369273,chocolate,wood
15.759558770436,chocolate,wood
14.960801827229,chocolate,wood
7.85243445254059,chocolate,wood
16.1915205042669,chocolate,wood
8.60326859072865,chocolate,wood
38.7895154490535,vanilla,wood
32.8037304544403,vanilla,wood
27.7360801372342,vanilla,wood
25.8397835194108,vanilla,wood
24.1671472645765,vanilla,wood
24.6720470980585,vanilla,wood
22.181089744645,vanilla,wood
35.7826849857509,vanilla,wood
34.160235642862,vanilla,wood
28.8633565428762,vanilla,wood
31.3306868083605,vanilla,wood
28.1164864070819,vanilla,wood
42.206823144473,vanilla,wood
26.0233044137231,vanilla,wood
29.7256126314421,vanilla,wood
31.2507066142708,vanilla,wood
33.0912164678312,vanilla,wood
29.1368824867707,vanilla,wood
18.8804986299503,vanilla,wood
23.6819280751471,vanilla,wood
31.7936444798568,vanilla,wood
29.9447726076717,vanilla,wood
25.296754186907,vanilla,wood
29.4208733892152,vanilla,wood
25.9251564556504,vanilla,wood
31.2113174042984,vanilla,wood
22.8745080263375,vanilla,wood
31.8297056152461,vanilla,wood
31.242063244363,vanilla,wood
30.3264409083581,vanilla,wood
30.0957819583014,vanilla,wood
31.2866918857777,vanilla,wood
26.7549496114555,vanilla,wood
